name,age,monthly_income_npr,credit_score,existing_loans,loan_status
Rajesh Shrestha,31,105904,846,0,Approved
Maya Gurung,37,50454,341,1,Rejected
Bishnu Thapa,26,137009,300,3,Approved
Sunita Karki,57,44916,484,2,Rejected
Dinesh Rai,56,83911,301,3,Rejected
Kamala Poudel,32,84637,634,3,Approved
Ramesh Bhandari,30,35139,336,1,Rejected
Gita Tamang,58,62861,559,1,Rejected
Suresh Adhikari,42,30712,801,1,Approved
Radha Chhetri,42,32028,563,2,Rejected
Mohan Basnet,34,91850,644,3,Approved
Sarita Magar,27,137512,481,3,Approved
Hari Bhattarai,59,32635,655,0,Rejected
Laxmi Lama,40,78003,394,2,Rejected
Krishna Yadav,28,102201,822,0,Approved
Parbati Khadka,56,32142,777,1,Approved
Naresh Bista,27,61624,451,1,Rejected
Kabita Ghimire,38,69047,599,1,Approved
Ganesh Regmi,57,132078,650,2,Approved
Sabina Rana,49,75746,591,2,Approved
Bhim Neupane,55,55669,526,1,Rejected
Devi Dahal,34,62449,510,2,Rejected
Santosh Pandey,40,28649,390,1,Rejected
Pramila Malla,37,83094,604,3,Approved
Ram Bhandari,28,80603,702,3,Approved
Sushma Subedi,42,42137,414,1,Rejected
Keshav Acharya,48,48345,570,3,Rejected
Indira Joshi,50,76985,454,3,Rejected
Bikram Kandel,31,111523,568,0,Approved
Nirmala Baral,38,19342,502,1,Rejected
Kishor Katuwal,22,52621,538,3,Rejected
Anita Sapkota,27,61263,605,3,Approved
Rajan Dhital,27,48509,559,1,Rejected
Meena Devkota,57,41749,703,1,Approved
Kumar Bhusal,26,98913,783,0,Approved
Sabitri Paudel,34,16309,654,2,Rejected
Yubraj Koirala,52,23299,467,3,Rejected
Sita Ojha,52,120054,300,3,Rejected
Prem Bogati,34,131654,550,1,Approved
Kalpana Aryal,47,81908,497,2,Approved
Tika Rimal,54,31792,599,1,Rejected
Uma Bhusal,48,132441,493,2,Approved
Dilip Bhandari,54,46017,641,0,Rejected
Champa Dhungana,47,136601,793,2,Approved
Khem Wagle,37,120552,598,1,Approved
Sarala Chapagain,24,86147,707,2,Approved
Bal Gautam,29,55125,814,2,Approved
Purnima Nepal,55,20240,420,1,Rejected
Ashok Rijal,30,27868,665,0,Rejected
Hema Poudyal,52,31528,774,3,Approved
